Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC433719;75016;2025-03-03;2025-12-19;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;3.05;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;898269;282808;"{""coordinates"": [[[2.2846644836813055, 48.8571602345189], [2.2846745772064283, 48.857153919312644], [2.284647253716203, 48.85713349255284], [2.2846375050034387, 48.85713980891886], [2.2846644836813055, 48.8571602345189]]], ""type"": ""Polygon""}";48.85714689264715, 2.284656002143657
EC462051;75015;2025-08-25;2025-12-19;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;35.58;Travaux sur réseau de chauffage urbain;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;920209;300669;"{""coordinates"": [[[2.2849915179973492, 48.84432435403057], [2.2849260331056613, 48.844347996428915], [2.284924177492614, 48.84437151279567], [2.284948363147946, 48.84439670294857], [2.2850005706374725, 48.844390943355535], [2.2850183643906985, 48.84440698739528], [2.285029556095635, 48.844401488995246], [2.284985111171196, 48.84434430148717], [2.2849915179973492, 48.84432435403057]]], ""type"": ""Polygon""}";48.844367930456805, 2.284969912562445
EC467712;75010;2025-10-27;2026-03-13;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;28.08;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;924658;304321;"{""coordinates"": [[[[2.3581465084858078, 48.87369449450424], [2.358052734846297, 48.87380117459557], [2.358077495119734, 48.8738085929041], [2.3581777647667703, 48.87369365124345], [2.358175818543054, 48.87369237903875], [2.3581465084858078, 48.87369449450424]]], [[[2.3581464538988848, 48.87369449870825], [2.3581465084858078, 48.87369449450424], [2.358147393445902, 48.873693488394984], [2.3581464538988848, 48.87369449870825]]]], ""type"": ""MultiPolygon""}";48.87374938065542, 2.358113924574059
EC449893;75002;2025-07-03;2025-12-12;Opérateurs de réseau (gaz-électricité-RATP-etc);FRAICHEUR DE PARIS;6.44;Travaux sur réseau de climatisation;EMPRISE_TROTTOIR;;910335;292596;"{""coordinates"": [[[2.3374229269415543, 48.87091896516777], [2.3374376368336454, 48.87095638632906], [2.337457021028656, 48.870951939363756], [2.3374436746822216, 48.87091589185132], [2.3374229269415543, 48.87091896516777]]], ""type"": ""Polygon""}";48.870935689202845, 2.3374402000505454
EC475459;75007;2025-11-03;2026-10-02;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;30.4;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;926343;305629;"{""coordinates"": [[[2.323640289932755, 48.85208067886249], [2.323613637152016, 48.852082581430395], [2.3236316109444775, 48.852217108201394], [2.323659832360736, 48.85221499865045], [2.323640289932755, 48.85208067886249]]], ""type"": ""Polygon""}";48.852149487542896, 2.323636431139866
EC294154;75004;2022-09-16;2026-02-28;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;0.26;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE;AUTRE,STATIONNEMENT_PAYANT;685811;194536;"{""coordinates"": [[[2.3649985165757403, 48.85507205246304], [2.3649632597254695, 48.85507732981511], [2.3649632486227454, 48.855078240798946], [2.364998505473635, 48.8550729634469], [2.3649985165757403, 48.85507205246304]]], ""type"": ""Polygon""}";48.85507514663095, 2.3649808825997654
EC385258;75018;2024-06-24;2026-03-02;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;8.6;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;859897;251903;"{""coordinates"": [[[2.343366696685839, 48.89543528841006], [2.3433755231284343, 48.89548014274277], [2.3433976354662813, 48.89547917130963], [2.3433910230426642, 48.89543396489321], [2.343366696685839, 48.89543528841006]]], ""type"": ""Polygon""}";48.895456776848704, 2.3433826674389864
EC426883;75014;2025-02-11;2025-11-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;37.1;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;892789;278351;"{""coordinates"": [[[2.323503160704824, 48.84183097188953], [2.323698612480962, 48.84176149389706], [2.323684361924132, 48.84174319847385], [2.323490296276373, 48.84181222830428], [2.323503160704824, 48.84183097188953]]], ""type"": ""Polygon""}";48.84178697285945, 2.323594146839316
EC448988;75011;2025-05-05;2026-04-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;64.99;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;907279;290081;"{""coordinates"": [[[2.3863455787870036, 48.85336235500677], [2.3862918028284903, 48.853319274604644], [2.3861829796913656, 48.85338003862763], [2.3862404386473823, 48.85342283488701], [2.3863455787870036, 48.85336235500677]]], ""type"": ""Polygon""}";48.853371169967104, 2.386264882900951
EC467309;75005;2025-10-20;2025-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;12.65;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;924363;304068;"{""coordinates"": [[[2.3523110402952456, 48.84022948608008], [2.35246368433327, 48.84027038544215], [2.3524686315227195, 48.840260849281016], [2.352315971895947, 48.840221315974915], [2.3523110402952456, 48.84022948608008]]], ""type"": ""Polygon""}";48.8402459645482, 2.352391546732517
EC466327;75014;2025-09-08;2026-07-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;42.35;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;923548;303416;"{""coordinates"": [[[2.314817126703206, 48.82746924525346], [2.3147943313569326, 48.827485052530164], [2.3148094137179975, 48.82749196972192], [2.3148757889199563, 48.827479599510085], [2.3150568704110097, 48.82737202874745], [2.3150370386466155, 48.82735916467592], [2.3148578112786558, 48.827469933428524], [2.314817126703206, 48.82746924525346]]], ""type"": ""Polygon""}";48.82743129074626, 2.3149327642540998
EC452979;75013;2025-06-09;2025-12-05;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;9.92;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;912614;294445;"{""coordinates"": [[[2.372755972143941, 48.82857109356799], [2.372713436807288, 48.8286171215701], [2.372732314444706, 48.8286245675522], [2.37277585845465, 48.8285787112176], [2.372755972143941, 48.82857109356799]]], ""type"": ""Polygon""}";48.828597706327294, 2.372744559797326
EC469086;75014;2025-10-28;2026-06-01;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;37.03;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;922441;305294;"{""coordinates"": [[[2.3235647566535063, 48.83978270325853], [2.3235963088003224, 48.83975681171041], [2.3235305546280443, 48.83968050538136], [2.3234832495609172, 48.839684336274665], [2.3235647566535063, 48.83978270325853]]], ""type"": ""Polygon""}";48.839726789049315, 2.3235432541404695
EC471556;75003;2025-10-13;2026-01-16;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;26.17;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;916904;297956;"{""coordinates"": [[[2.3650435116652635, 48.85700570850082], [2.365047557672683, 48.85701347157146], [2.365443777258783, 48.85694817876257], [2.365441106211872, 48.85694087896671], [2.3650435116652635, 48.85700570850082]]], ""type"": ""Polygon""}";48.856977519713695, 2.3652411690852015
EC465828;75011;2025-10-27;2025-12-19;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;59.1;Travaux sur réseau de gaz;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;923207;303126;"{""coordinates"": [[[2.3747260084733868, 48.870149402124724], [2.3747118284229027, 48.870151832705155], [2.3745705590667705, 48.8701035097466], [2.3744420275870626, 48.87005775694794], [2.3744269745818065, 48.87007543750688], [2.374735941102748, 48.870184516505375], [2.374750996765548, 48.870166608391045], [2.374735869492381, 48.8701617484885], [2.3747260084733868, 48.870149402124724]]], ""type"": ""Polygon""}";48.870121917524024, 2.374591972154069
EC470672;75006;2025-10-20;2025-12-19;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;4.79;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;927276;306360;"{""coordinates"": [[[2.3274519128782827, 48.842841810333915], [2.3274780700710047, 48.84283453672834], [2.32746502394918, 48.84281591129156], [2.3274373035153224, 48.84282553693787], [2.3274519128782827, 48.842841810333915]]], ""type"": ""Polygon""}";48.842829240489884, 2.327458152023686
